almuerzo	to have lunch/yo
almuerza	to have lunch/él
almuerzas	to have lunch/tú
almorzamos	to have lunch/nos
almuerzan	to have lunch/ellos
cuento	to count; to tell/yo
cuenta	to count; to tell/él
cuentas	to count; to tell/tú
contamos	to count; to tell/nos
cuentan	to count; to tell/ellos
duermo	to sleep/yo
duerme	to sleep/él
duermes	to sleep/tú
dormimos	to sleep/nos
duermen	to sleep/ellos
encuentro	to find/yo
encuentra	to find/él
encuentras	to find/tú
encontramos	to find/nos
encuentran	to find/ellos
muestro	to show/yo
muestra	to show/él
muestras	to show/tú
mostramos	to show/nos
muestran	to show/ellos
puedo	to be able to; can/yo
puede	to be able to; can/él
puedes	to be able to; can/tú
podemos	to be able to; can/nos
pueden	to be able to; can/ellos
recuerdo	to remember/yo
recuerda	to remember/él
recuerdas	to remember/tú
recordamos	to remember/nos
recuerdan	to remember/ellos
vuelvo	to return/yo
vuelve	to return/él
vuelves	to return/tú
volvemos	to return/nos
vuelven	to return/ellos
