las afueras	suburbs; outskirts
el alquiler	rent (payment)
el ama de casa	housekeeper; caretaker
el barrio	neighborhood
el edificio de apartamentos	apartment building
el/la vecino/a	neighbor
la vivienda	housing
alquilar	to rent
mudarse	to move
el altillo	attic
el balcón	balcony
la cocina	kitchen
el comedor	dining room
el dormitorio	bedroom
la entrada	entrance
la escalera	stairs, stairway
el garaje	garage
el jardín	garden
la oficina	office
el pasillo	hallway
el patio	patio; yard
la sala	living room
el sótano	basement; cellar
