incluir	to include
beber	to drink
recorrer por	to walk through
abrir	to open
creer	to believe
dar	to give
decidir	to decide
empezar	to begin
leer	to read
comprar	to buy
estar	to be
hacer	to do
hablar	to talk
decir	to say
pedir	to ask
repetir	to repeat
el año pasado	last year
antes de la clase	before class
en mi opinión	in my opinion
luego / entonces	then
después de	after
francés	french
el fin de semana pasado	last weekend
frases	phrases
anoche (preterite)	last night
muy	very
frustrante	frustrating
las costumbres	customs
sobre	about
cerca de	near
el tráfico	traffic
el proyecto	project
el mapa	map
el peatón/la peatona	the pedestrian
instrucciones	intructions
mejorar	to improve
flores	flowers
destruir	to destroy
la piedra	stone
todavía, aún	still
la granja	farm
madera	wood
el volcán	volcano
la revista	magazine
la materia orgánica	organic material
botar	to throw away
sembrar	to plant
acampar	to go camping
luego	later
causar daño	to cause damage
cascada	waterfall
ahorrar	save (money or energy)
traer	to bring
creer	to blieve
ser	to be
querer	to want
oír	to hear
subir	to climb
la carretera	highway
indígena	indigenous
nuevo/a	new
honesto/a	honest
