andar en patineta	to skateboard
bucear	to scuba dive
escalar montañas	to climb mountains
escribir un mensaje electrónico	to write an e-mail
esquiar	to ski
ganar	to win
ir de excursión	to go on a hike
leer correo electrónico	to read e-mail
leer un periódico	to read a newspaper
leer una revista	to read a magazine
nadar	to swim
pasear	to take a walk
pasear en bicicleta	to ride a bike
patinar (en línea)	to (inline) skate
practicar deportes	to play sports
tomar el sol	to sunbathe
ver películas	to watch movies
visitar monumentos	to visit monuments
la diversión	fun activity; entertainment; recreation
el fin de semana	weekend
el pasatiempo	hobby
los ratos libres	spare (free) time
el videojuego	video game
