tener... años	to be... years old
tener calor	to be hot
tener (mucho) calor	to be (very) hot
tener cuidado	to be careful
tener (mucho) cuidado	to be (very) careful
tener frío	to be cold
tener (mucho) frío	to be (very) cold
tener hambre	to be hungry
tener (mucha) hambre	to be (very) hungry
tener miedo (de)	to be afraid/scared (of)
tener (mucho) miedo (de)	to be (very) afraid/scared (of)
tener prisa	to be in a hurry
tener (mucha) prisa	to be in a (big) hurry
tener razón	to be right
no tener razón	to be wrong
tener sed	to be thirsty
tener (mucha) sed	to be (very) thirsty
tener sueño	to be sleepy
tener (mucho) sueño	to be (very) sleepy
tener suerte	to be lucky
tener (mucha) suerte	to be (very) lucky
