a partir de	beginning with
al principio	at the beginning
como punto de partida	as a starting point
en primer lugar	first of all
para empezar	to begin with
a causa de	on account of, because of
a pesar de todo	in spite of everything
al considerar	upon considering
de ninguna manera	by no means
es cierto que	it's certain that
hasta el momento	until now
la verdad es que	the truth is that
lo que importa es que	what matters is that
sobre todo	above all
además (de)	furthermore; in addition
al mismo tiempo	at the same time
el caso es que / el hecho de que	the fact is that
en otras palabras	in other words
igualmente	likewise
las razones por las que	the reasons for which
mientras tanto	meanwhile
para ilustrar	to illustrate
tampoco	neither, not either
en la actualidad	currently, right now
por añadidura	in addition
