la sopa	soup
el tenedor	fork
la cuchara	spoon
el cuchillo	knife
el puré	puree
el bocadito	snack
el vaso	a drinking glass
la merienda	the afternoon snack
puesto de comida	food stand
los cubiertos	silverware
los camareros	waiters
nutritivo/a/as/os	nutritious
el puesto de verduras	vegetable stand
el carrito de helados	ice cream cart
el puesto de churros	a churro stand
pequeño	small
la receta	recipe
mezclar	to mix
caliente	hot, warm
frío	cold
al aire libre	outdoors
los mariscos	seafood
untar(se)	to spread
cerca de mi casa	near my house
la langosta	lobster
estar enfermo/enferma	to be sick
el pescado	fish
la sopa de pollo	chicken soup
