sopa	soup
un tenedor	fork
una cuchara	spoon
un cuchillo	knife
un puré	puree
un bocadito	snack
un vaso	drinking glass
una merienda	an afternoon snack
un puesto de comida	food cart stand
unos cubiertos	silverware
unos camareros	waiters
nutritivo/a/as/os	nutritious
un puesto de verduras	vegetable stand
un carrito de helados	ice cream cart
un puesto de churros	a churro stand
pequeño	small
una receta	recipe
mezclar	to mix
caliente	hot, warm
frío	cold
al aire libre	outdoors
mariscos	seafood
untar(se)	to spread
cerca de mi casa	near my house
la langosta	lobster
estar enfermo/enferma	to be sick
el pescado	fish
sopa de pollo	chicken soup
