la huerta	vegetable garden, orchard
el emprendimiento	entrepreneurship, undertaking
a pedido	on request
la manualidad	handicraft
oriundo(a)	native
asumir	to accept, assume, take over
mediante	by way of
navegar	to browse, navigate
difundir	to spread, disseminate
hueco	hole, hollow
vacío	empty
el usuario	user
el perfil	profile
el seguidor	follower
la contingencia	possibility, contingency, eventuality
tuitear	to tweet
meterse	to get into
los cibernautas	Internet user
el taller	workshop
la afición	liking, hobby
el confinamiento	confinement, lockdown
decena	ten
ascenso	raise, ascent
no obstante	however, nevertheless
enfrentar	to face
el diputado	representative
bloquear	to block
aportar	to contribute
botar	to kick out, throw out
contar con	to have, to count on
